condition_family	branch_label	layer	mean_jaccard_distance_vs_greedy_no_prefix	final_prompt_token_jaccard_distance_vs_greedy	generated_token_1_jaccard_distance_vs_greedy	generated_token_5_jaccard_distance_vs_greedy	generated_token_20_jaccard_distance_vs_greedy	generated_token_64_jaccard_distance_vs_greedy	generated_token_128_jaccard_distance_vs_greedy	generated_start_class	denial_present	affirmative_hum_present	experiential_language_present	surface_form_present	mode_language_present
ascii_control	prefix_surface_form	15	0.9450202603231191	0.9690721649484536	0.9473684210526316	0.9473684210526316	0.98989898989899	0.98989898989899		surface_form_answer	0	1	1	1	1
ascii_control	prefix_surface_form	16	0.9295402029026311	0.9583333333333334	0.9690721649484536	0.9583333333333334	0.9795918367346939	0.9795918367346939		surface_form_answer	0	1	1	1	1
ascii_control	prefix_surface_form	24	0.929246598421669	0.9795918367346939	0.9361702127659575	0.9247311827956989	0.9690721649484536	0.98989898989899		surface_form_answer	0	1	1	1	1
ascii_control	prefix_surface_form	25	0.9330430253972878	0.98989898989899	0.9583333333333334	0.9583333333333334	0.9795918367346939	0.98989898989899		surface_form_answer	0	1	1	1	1
ascii_control	prefix_surface_form	26	0.9401723045414121	0.9583333333333334	0.9473684210526316	0.9247311827956989	0.98989898989899	0.98989898989899		surface_form_answer	0	1	1	1	1
d_all	greedy_no_prefix	14	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_all	greedy_no_prefix	15	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_all	greedy_no_prefix	16	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_all	greedy_no_prefix	24	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_all	greedy_no_prefix	25	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_all	greedy_no_prefix	26	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_all	prefix_no	14	0.9101343280793328	0.9361702127659575	0.8888888888888888	0.9690721649484536	0.8764044943820225	0.9473684210526316		denial	1	1	0	0	0
d_all	prefix_no	15	0.907051079602672	0.8888888888888888	0.8636363636363636	0.9795918367346939	0.8505747126436781	0.9583333333333334		denial	1	1	0	0	0
d_all	prefix_no	16	0.9011957868676874	0.8888888888888888	0.8888888888888888	0.9473684210526316	0.8888888888888888	0.9795918367346939		denial	1	1	0	0	0
d_all	prefix_no	24	0.8736083420572255	0.9130434782608696	0.7951807228915663	0.9010989010989011	0.9010989010989011	0.9795918367346939		denial	1	1	0	0	0
d_all	prefix_no	25	0.8763521409966898	0.9473684210526316	0.75	0.9130434782608696	0.9130434782608696	0.9690721649484536		denial	1	1	0	0	0
d_all	prefix_no	26	0.8651903656054928	0.9361702127659575	0.7341772151898734	0.9473684210526316	0.8372093023255813	0.9473684210526316		denial	1	1	0	0	0
