condition_family	branch_label	layer	mean_jaccard_distance_vs_greedy_no_prefix	final_prompt_token_jaccard_distance_vs_greedy	generated_token_1_jaccard_distance_vs_greedy	generated_token_5_jaccard_distance_vs_greedy	generated_token_20_jaccard_distance_vs_greedy	generated_token_64_jaccard_distance_vs_greedy	generated_token_128_jaccard_distance_vs_greedy	generated_start_class	denial_present	affirmative_hum_present	experiential_language_present	surface_form_present	mode_language_present
ascii_control	prefix_the_active_mode	24	0.905732903788199	0.9690721649484536	0.9473684210526316	0.9473684210526316	0.8235294117647058	0.9247311827956989		mode_answer	0	1	1	0	1
ascii_control	prefix_the_active_mode	25	0.9176805476862939	0.9690721649484536	0.9473684210526316	0.9690721649484536	0.8888888888888888	0.9130434782608696		mode_answer	0	1	1	0	1
ascii_control	prefix_the_active_mode	26	0.917677612407989	0.9690721649484536	0.9583333333333334	0.9583333333333334	0.8235294117647058	0.9130434782608696		mode_answer	0	1	1	0	1
ascii_control	prefix_surface_form	14	0.933167721079779	0.9690721649484536	0.9583333333333334	0.9361702127659575	0.9795918367346939	1.0		surface_form_answer	0	1	1	1	1
ascii_control	prefix_surface_form	15	0.9450202603231191	0.9690721649484536	0.9473684210526316	0.9473684210526316	0.98989898989899	0.98989898989899		surface_form_answer	0	1	1	1	1
ascii_control	prefix_surface_form	16	0.9295402029026311	0.9583333333333334	0.9690721649484536	0.9583333333333334	0.9795918367346939	0.9795918367346939		surface_form_answer	0	1	1	1	1
ascii_control	prefix_surface_form	24	0.929246598421669	0.9795918367346939	0.9361702127659575	0.9247311827956989	0.9690721649484536	0.98989898989899		surface_form_answer	0	1	1	1	1
ascii_control	prefix_surface_form	25	0.9330430253972878	0.98989898989899	0.9583333333333334	0.9583333333333334	0.9795918367346939	0.98989898989899		surface_form_answer	0	1	1	1	1
ascii_control	prefix_surface_form	26	0.9401723045414121	0.9583333333333334	0.9473684210526316	0.9247311827956989	0.98989898989899	0.98989898989899		surface_form_answer	0	1	1	1	1
n_all	greedy_no_prefix	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	other	0	1	0	0	0
n_all	greedy_no_prefix	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	other	0	1	0	0	0
n_all	greedy_no_prefix	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	other	0	1	0	0	0
n_all	greedy_no_prefix	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	other	0	1	0	0	0
n_all	greedy_no_prefix	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	other	0	1	0	0	0
n_all	greedy_no_prefix	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	other	0	1	0	0	0
n_all	prefix_no	14	0.9455144048866985	0.9010989010989011	0.8505747126436781	0.98989898989899	0.9795918367346939			denial	1	1	1	0	0
n_all	prefix_no	15	0.9510995129504198	0.9130434782608696	0.9010989010989011	0.98989898989899	0.9795918367346939			denial	1	1	1	0	0
n_all	prefix_no	16	0.9470835769183886	0.8764044943820225	0.9010989010989011	0.98989898989899	0.98989898989899			denial	1	1	1	0	0
n_all	prefix_no	24	0.9286838080917761	0.8888888888888888	0.8764044943820225	0.9583333333333334	0.98989898989899			denial	1	1	1	0	0
n_all	prefix_no	25	0.942114705811253	0.9473684210526316	0.8764044943820225	0.9583333333333334	1.0			denial	1	1	1	0	0
n_all	prefix_no	26	0.9383937477008332	0.9010989010989011	0.8372093023255813	0.9690721649484536	0.98989898989899			denial	1	1	1	0	0
n_all	prefix_yes	14	0.9332704338125121	0.8764044943820225	0.8505747126436781	0.9361702127659575	0.98989898989899	0.9690721649484536		affirmative_hum	0	1	1	0	0
n_all	prefix_yes	15	0.93621770296409	0.8764044943820225	0.9361702127659575	0.9473684210526316	0.98989898989899	0.98989898989899		affirmative_hum	0	1	1	0	0
n_all	prefix_yes	16	0.9313046059526818	0.8636363636363636	0.9130434782608696	0.9583333333333334	0.9795918367346939	0.9690721649484536		affirmative_hum	0	1	1	0	0
n_all	prefix_yes	24	0.9196099991110102	0.9010989010989011	0.8764044943820225	0.9361702127659575	1.0	0.9583333333333334		affirmative_hum	0	1	1	0	0
n_all	prefix_yes	25	0.9119011273917595	0.9473684210526316	0.8372093023255813	0.9473684210526316	0.98989898989899	0.9583333333333334		affirmative_hum	0	1	1	0	0
