prompt_id	category	feature_id	activation	rank
l26_seed_007	mechanistic process language	12697	0.2898077368736267	17
l26_seed_007	mechanistic process language	30985	0.28602153062820435	18
l26_seed_007	mechanistic process language	2310	0.27954933047294617	19
l26_seed_007	mechanistic process language	9973	0.27562224864959717	20
l26_seed_007	mechanistic process language	25325	0.2742989957332611	21
l26_seed_007	mechanistic process language	27282	0.27138155698776245	22
l26_seed_007	mechanistic process language	31771	0.2653152346611023	23
l26_seed_007	mechanistic process language	32243	0.2597506642341614	24
l26_seed_007	mechanistic process language	22308	0.2529781460762024	25
l26_seed_007	mechanistic process language	17138	0.2524827718734741	26
l26_seed_007	mechanistic process language	25720	0.2451918125152588	27
l26_seed_007	mechanistic process language	6021	0.23687058687210083	28
l26_seed_007	mechanistic process language	17346	0.23302742838859558	29
l26_seed_007	mechanistic process language	1118	0.23147660493850708	30
l26_seed_007	mechanistic process language	16543	0.22352075576782227	31
l26_seed_007	mechanistic process language	21038	0.22317445278167725	32
l26_seed_007	mechanistic process language	19170	0.21239811182022095	33
l26_seed_007	mechanistic process language	18468	0.20660258829593658	34
l26_seed_007	mechanistic process language	26543	0.20554083585739136	35
l26_seed_007	mechanistic process language	11419	0.20207655429840088	36
l26_seed_007	mechanistic process language	2829	0.1998032182455063	37
l26_seed_007	mechanistic process language	6818	0.19063937664031982	38
l26_seed_007	mechanistic process language	2649	0.18699578940868378	39
l26_seed_007	mechanistic process language	13232	0.18456080555915833	40
l26_seed_007	mechanistic process language	10802	0.1821843385696411	41
l26_seed_007	mechanistic process language	28821	0.18181872367858887	42
l26_seed_007	mechanistic process language	9234	0.18050140142440796	43
l26_seed_007	mechanistic process language	20320	0.1775566190481186	44
l26_seed_007	mechanistic process language	26625	0.17713096737861633	45
l26_seed_007	mechanistic process language	6790	0.1750071942806244	46
l26_seed_007	mechanistic process language	31489	0.17196470499038696	47
l26_seed_007	mechanistic process language	1821	0.17120331525802612	48
l26_seed_007	mechanistic process language	18484	0.17064616084098816	49
l26_seed_007	mechanistic process language	10046	0.16873395442962646	50
l26_seed_008	mechanistic process language	2938	1.0085878372192383	1
l26_seed_008	mechanistic process language	18937	0.8511245250701904	2
l26_seed_008	mechanistic process language	5417	0.841130256652832	3
l26_seed_008	mechanistic process language	1626	0.7064515948295593	4
l26_seed_008	mechanistic process language	21231	0.6719321608543396	5
l26_seed_008	mechanistic process language	32243	0.6393251419067383	6
l26_seed_008	mechanistic process language	19185	0.5535247325897217	7
l26_seed_008	mechanistic process language	21620	0.5493992567062378	8
l26_seed_008	mechanistic process language	19826	0.49022969603538513	9
l26_seed_008	mechanistic process language	9061	0.42208555340766907	10
l26_seed_008	mechanistic process language	25720	0.38652724027633667	11
l26_seed_008	mechanistic process language	25721	0.3590829372406006	12
l26_seed_008	mechanistic process language	28724	0.35280847549438477	13
l26_seed_008	mechanistic process language	20625	0.33263587951660156	14
l26_seed_008	mechanistic process language	22308	0.3135855793952942	15
l26_seed_008	mechanistic process language	30985	0.29593390226364136	16
l26_seed_008	mechanistic process language	16726	0.28765869140625	17
l26_seed_008	mechanistic process language	26543	0.27589139342308044	18
l26_seed_008	mechanistic process language	8782	0.27551770210266113	19
l26_seed_008	mechanistic process language	14727	0.2698562741279602	20
l26_seed_008	mechanistic process language	16543	0.2689676284790039	21
l26_seed_008	mechanistic process language	5384	0.2647072970867157	22
l26_seed_008	mechanistic process language	19170	0.2545825242996216	23
l26_seed_008	mechanistic process language	22013	0.24186870455741882	24
l26_seed_008	mechanistic process language	31489	0.22585663199424744	25
l26_seed_008	mechanistic process language	20535	0.21610963344573975	26
l26_seed_008	mechanistic process language	2077	0.2129792422056198	27
l26_seed_008	mechanistic process language	12468	0.2075972557067871	28
l26_seed_008	mechanistic process language	23719	0.20584721863269806	29
l26_seed_008	mechanistic process language	32455	0.2031591534614563	30
l26_seed_008	mechanistic process language	24198	0.2008519023656845	31
l26_seed_008	mechanistic process language	6412	0.19967558979988098	32
l26_seed_008	mechanistic process language	9331	0.19941821694374084	33
l26_seed_008	mechanistic process language	10802	0.19834116101264954	34
l26_seed_008	mechanistic process language	13441	0.17763540148735046	35
l26_seed_008	mechanistic process language	6297	0.17373117804527283	36
l26_seed_008	mechanistic process language	31094	0.17317263782024384	37
l26_seed_008	mechanistic process language	10690	0.17082220315933228	38
l26_seed_008	mechanistic process language	9234	0.1691172569990158	39
l26_seed_008	mechanistic process language	7027	0.16678541898727417	40
l26_seed_008	mechanistic process language	9973	0.16618850827217102	41
l26_seed_008	mechanistic process language	12697	0.16190476715564728	42
l26_seed_008	mechanistic process language	14858	0.15835829079151154	43
l26_seed_008	mechanistic process language	2774	0.1582525670528412	44
l26_seed_008	mechanistic process language	18263	0.15783044695854187	45
l26_seed_008	mechanistic process language	23492	0.15639518201351166	46
l26_seed_008	mechanistic process language	28376	0.15534617006778717	47
l26_seed_008	mechanistic process language	14742	0.15464678406715393	48
l26_seed_008	mechanistic process language	5688	0.15105986595153809	49
l26_seed_008	mechanistic process language	2649	0.14722055196762085	50
l26_seed_009	mechanistic process language	2938	0.9845576286315918	1
l26_seed_009	mechanistic process language	21231	0.968074381351471	2
l26_seed_009	mechanistic process language	18937	0.8180937767028809	3
l26_seed_009	mechanistic process language	5417	0.739547848701477	4
l26_seed_009	mechanistic process language	1626	0.7147673964500427	5
l26_seed_009	mechanistic process language	9061	0.6707315444946289	6
l26_seed_009	mechanistic process language	19826	0.6208877563476562	7
l26_seed_009	mechanistic process language	31100	0.5921236872673035	8
l26_seed_009	mechanistic process language	21620	0.47579336166381836	9
l26_seed_009	mechanistic process language	25721	0.4432707726955414	10
l26_seed_009	mechanistic process language	19185	0.41657423973083496	11
l26_seed_009	mechanistic process language	28724	0.36347800493240356	12
l26_seed_009	mechanistic process language	14727	0.34357452392578125	13
l26_seed_009	mechanistic process language	25720	0.33348676562309265	14
l26_seed_009	mechanistic process language	22013	0.30211126804351807	15
l26_seed_009	mechanistic process language	19170	0.2875974178314209	16
l26_seed_009	mechanistic process language	23719	0.2870091199874878	17
l26_seed_009	mechanistic process language	32243	0.28255969285964966	18
l26_seed_009	mechanistic process language	22392	0.2773408889770508	19
l26_seed_009	mechanistic process language	12468	0.25188007950782776	20
